transaction_id,transaction_date,amount,account_id,category,currency,is_reversal
TXN100000,2024-01-01 00:00:00,37516.56,ACC8195,credit,INR,False
TXN100001,2024-01-01 01:00:00,95076.36,ACC3525,credit,INR,False
TXN100002,2024-01-01 02:00:00,73226.19,ACC6622,debit,INR,False
TXN100003,2024-01-01 03:00:00,59905.98,ACC2309,debit,INR,False
TXN100004,2024-01-01 04:00:00,15686.26,ACC9660,credit,INR,False
TXN100005,2024-01-01 05:00:00,15683.85,ACC4983,debit,INR,False
TXN100006,2024-01-01 06:00:00,5902.55,ACC2764,debit,INR,True
TXN100007,2024-01-01 07:00:00,86631.0,ACC7955,debit,INR,False
TXN100008,2024-01-01 08:00:00,60151.39,ACC1791,debit,INR,False
TXN100009,2024-01-01 09:00:00,70836.45,ACC2725,credit,INR,False
TXN100010,2024-01-01 10:00:00,2156.39,ACC1061,credit,INR,False
TXN100011,2024-01-01 11:00:00,96993.99,ACC7851,debit,INR,False
TXN100012,2024-01-01 12:00:00,83261.02,ACC8769,credit,INR,False
TXN100013,2024-01-01 13:00:00,21312.68,ACC6058,credit,INR,False
TXN100014,2024-01-01 14:00:00,18264.31,ACC2910,debit,INR,False
TXN100015,2024-01-01 15:00:00,18422.11,ACC4291,debit,INR,False
TXN100016,2024-01-01 16:00:00,30493.8,ACC7862,credit,INR,False
TXN100017,2024-01-01 17:00:00,52523.17,ACC8244,credit,INR,False
TXN100018,2024-01-01 18:00:00,43251.31,ACC4831,credit,INR,False
TXN100019,2024-01-01 19:00:00,29193.79,ACC4584,debit,INR,False
TXN100020,2024-01-01 20:00:00,61224.1,ACC7911,credit,INR,False
TXN100021,2024-01-01 21:00:00,14035.44,ACC7088,credit,INR,False
TXN100022,2024-01-01 22:00:00,29285.25,ACC7583,debit,INR,False
TXN100023,2024-01-01 23:00:00,36699.55,ACC2351,credit,INR,False
TXN100024,2024-01-02 00:00:00,45661.39,ACC4827,debit,INR,False
TXN100025,2024-01-02 01:00:00,78539.08,ACC7733,debit,INR,False
TXN100026,2024-01-02 02:00:00,20047.41,ACC5835,credit,INR,False
TXN100027,2024-01-02 03:00:00,51472.02,ACC6465,debit,INR,False
TXN100028,2024-01-02 04:00:00,59282.22,ACC6291,debit,INR,False
TXN100029,2024-01-02 05:00:00,4740.4,ACC9950,credit,INR,False
TXN100030,2024-01-02 06:00:00,60793.73,ACC4307,debit,INR,False
TXN100031,2024-01-02 07:00:00,17135.36,ACC7374,credit,INR,False
TXN100032,2024-01-02 08:00:00,6598.65,ACC1932,debit,INR,False
TXN100033,2024-01-02 09:00:00,94893.67,ACC1292,debit,INR,False
TXN100034,2024-01-02 10:00:00,96566.64,ACC2003,credit,INR,False
TXN100035,2024-01-02 11:00:00,80858.9,ACC9825,credit,INR,False
TXN100036,2024-01-02 12:00:00,30530.92,ACC8155,credit,INR,False
TXN100037,2024-01-02 13:00:00,9857.44,ACC1613,debit,INR,False
TXN100038,2024-01-02 14:00:00,68454.88,ACC1908,credit,INR,False
TXN100039,2024-01-02 15:00:00,44071.23,ACC7690,debit,INR,False
TXN100040,2024-01-02 16:00:00,12291.62,ACC8635,credit,INR,False
TXN100041,2024-01-02 17:00:00,49568.17,ACC6327,debit,INR,False
TXN100042,2024-01-02 18:00:00,3535.41,ACC1296,credit,INR,False
TXN100043,2024-01-02 19:00:00,90941.11,ACC9046,debit,INR,False
TXN100044,2024-01-02 20:00:00,25952.12,ACC5382,credit,INR,False
TXN100045,2024-01-02 21:00:00,66285.98,ACC2484,debit,INR,False
TXN100046,2024-01-02 22:00:00,31239.94,ACC3525,debit,INR,False
TXN100047,2024-01-02 23:00:00,52054.8,ACC8055,debit,INR,False
TXN100048,2024-01-03 00:00:00,54716.36,ACC9559,debit,INR,False
TXN100049,2024-01-03 01:00:00,18566.96,ACC4770,credit,INR,False
TXN100050,2024-01-03 02:00:00,96961.5,ACC9759,debit,INR,False
TXN100051,2024-01-03 03:00:00,77535.77,ACC5231,credit,INR,False
TXN100052,2024-01-03 04:00:00,93955.94,ACC7858,debit,INR,False
TXN100053,2024-01-03 05:00:00,89493.25,ACC5723,credit,INR,False
TXN100054,2024-01-03 06:00:00,59830.21,ACC7611,debit,INR,False
TXN100055,2024-01-03 07:00:00,92195.24,ACC1932,debit,INR,False
TXN100056,2024-01-03 08:00:00,8940.4,ACC1296,credit,INR,False
TXN100057,2024-01-03 09:00:00,19678.69,ACC6620,credit,INR,False
TXN100058,2024-01-03 10:00:00,4618.21,ACC7079,debit,INR,False
TXN100059,2024-01-03 11:00:00,32600.5,ACC3525,credit,INR,False
TXN100060,2024-01-03 12:00:00,38928.86,ACC6133,credit,INR,False
TXN100061,2024-01-03 13:00:00,27207.77,ACC8962,credit,INR,False
TXN100062,2024-01-03 14:00:00,82890.88,ACC2185,debit,INR,False
TXN100063,2024-01-03 15:00:00,35739.66,ACC8892,credit,INR,False
TXN100064,2024-01-03 16:00:00,28165.36,ACC9619,debit,INR,False
TXN100065,2024-01-03 17:00:00,54315.34,ACC4195,credit,INR,False
TXN100066,2024-01-03 18:00:00,14178.33,ACC1559,credit,INR,False
TXN100067,2024-01-03 19:00:00,80239.48,ACC9275,debit,INR,False
TXN100068,2024-01-03 20:00:00,7547.61,ACC8066,credit,INR,False
TXN100069,2024-01-03 21:00:00,98690.0,ACC6088,credit,INR,False
TXN100070,2024-01-03 22:00:00,77247.25,ACC5050,credit,INR,False
TXN100071,2024-01-03 23:00:00,19951.7,ACC8408,credit,INR,False
TXN100072,2024-01-04 00:00:00,651.66,ACC4413,credit,INR,False
TXN100073,2024-01-04 01:00:00,81564.6,ACC1405,credit,INR,False
TXN100074,2024-01-04 02:00:00,70715.05,ACC4925,credit,INR,False
TXN100075,2024-01-04 03:00:00,72927.82,ACC4827,debit,INR,False
TXN100076,2024-01-04 04:00:00,77149.91,ACC8331,debit,INR,False
TXN100077,2024-01-04 05:00:00,7497.06,ACC4022,debit,INR,True
TXN100078,2024-01-04 06:00:00,35910.73,ACC1005,debit,INR,False
TXN100079,2024-01-04 07:00:00,11675.32,ACC7457,debit,INR,False
TXN100080,2024-01-04 08:00:00,86324.03,ACC9080,credit,INR,False
TXN100081,2024-01-04 09:00:00,62367.48,ACC8621,debit,INR,False
TXN100082,2024-01-04 10:00:00,33156.71,ACC4506,debit,INR,False
TXN100083,2024-01-04 11:00:00,6449.48,ACC7211,credit,INR,False
TXN100084,2024-01-04 12:00:00,31167.13,ACC2494,debit,INR,False
TXN100085,2024-01-04 13:00:00,32585.81,ACC2368,credit,INR,False
TXN100086,2024-01-04 14:00:00,72987.66,ACC1275,credit,INR,True
TXN100087,2024-01-04 15:00:00,63791.99,ACC8511,debit,INR,False
TXN100088,2024-01-04 16:00:00,88732.55,ACC6639,debit,INR,False
TXN100089,2024-01-04 17:00:00,47274.27,ACC5278,credit,INR,False
TXN100090,2024-01-04 18:00:00,12047.47,ACC7911,credit,INR,False
TXN100091,2024-01-04 19:00:00,71353.15,ACC9861,debit,INR,False
TXN100092,2024-01-04 20:00:00,76102.43,ACC8493,credit,INR,False
TXN100093,2024-01-04 21:00:00,56171.59,ACC3453,debit,INR,False
TXN100094,2024-01-04 22:00:00,77119.62,ACC6171,debit,INR,False
TXN100095,2024-01-04 23:00:00,49430.18,ACC5278,debit,INR,False
TXN100096,2024-01-05 00:00:00,52321.01,ACC9159,debit,INR,False
TXN100097,2024-01-05 01:00:00,42811.35,ACC6622,credit,INR,False
TXN100098,2024-01-05 02:00:00,2639.37,ACC8892,credit,INR,False
TXN100099,2024-01-05 03:00:00,10878.35,ACC9660,debit,INR,False
TXN100100,2024-01-05 04:00:00,3239.78,ACC7374,debit,INR,False
TXN100101,2024-01-05 05:00:00,63677.4,ACC1071,credit,INR,False
TXN100102,2024-01-05 06:00:00,31504.16,ACC8635,credit,INR,False
TXN100103,2024-01-05 07:00:00,50906.21,ACC1151,credit,INR,False
TXN100104,2024-01-05 08:00:00,90765.89,ACC8723,credit,INR,False
TXN100105,2024-01-05 09:00:00,25004.29,ACC3788,credit,INR,False
TXN100106,2024-01-05 10:00:00,41097.25,ACC7083,debit,INR,False
TXN100107,2024-01-05 11:00:00,75579.56,ACC4970,debit,INR,False
TXN100108,2024-01-05 12:00:00,22956.94,ACC1559,debit,INR,False
TXN100109,2024-01-05 13:00:00,7790.29,ACC7291,debit,INR,False
TXN100110,2024-01-05 14:00:00,29046.17,ACC3800,credit,INR,False
TXN100111,2024-01-05 15:00:00,16206.01,ACC3841,credit,INR,False
TXN100112,2024-01-05 16:00:00,92976.8,ACC1440,debit,INR,False
TXN100113,2024-01-05 17:00:00,80831.23,ACC1362,debit,INR,False
TXN100114,2024-01-05 18:00:00,63377.04,ACC3015,credit,INR,False
TXN100115,2024-01-05 19:00:00,87158.91,ACC9537,debit,INR,False
TXN100116,2024-01-05 20:00:00,80386.84,ACC4856,debit,INR,False
TXN100117,2024-01-05 21:00:00,18738.35,ACC2548,credit,INR,False
TXN100118,2024-01-05 22:00:00,89266.64,ACC8392,credit,INR,False
TXN100119,2024-01-05 23:00:00,53980.29,ACC2059,credit,INR,False
TXN100120,2024-01-06 00:00:00,80763.27,ACC7752,debit,INR,False
TXN100121,2024-01-06 01:00:00,89619.52,ACC6347,credit,INR,False
TXN100122,2024-01-06 02:00:00,31868.55,ACC2992,credit,INR,False
TXN100123,2024-01-06 03:00:00,11094.19,ACC3841,debit,INR,False
TXN100124,2024-01-06 04:00:00,22870.72,ACC5682,credit,INR,False
TXN100125,2024-01-06 05:00:00,42768.07,ACC7942,debit,INR,False
TXN100126,2024-01-06 06:00:00,81819.68,ACC5369,debit,INR,False
TXN100127,2024-01-06 07:00:00,86086.99,unknown,debit,INR,False
TXN100128,2024-01-06 08:00:00,794.52,ACC7752,debit,INR,False
TXN100129,2024-01-06 09:00:00,51123.66,ACC1596,credit,INR,False
TXN100130,2024-01-06 10:00:00,41799.36,ACC9537,debit,INR,False
TXN100131,2024-01-06 11:00:00,22288.57,ACC7935,credit,INR,False
TXN100132,2024-01-06 12:00:00,12074.55,ACC9080,credit,INR,False
TXN100133,2024-01-06 13:00:00,33827.76,ACC5762,credit,INR,False
TXN100134,2024-01-06 14:00:00,94296.68,ACC3333,credit,INR,False
TXN100135,2024-01-06 15:00:00,32387.97,ACC8750,credit,INR,False
