transaction_id,amount,account_id,transaction_date,category,currency,is_reversal,fraud_score,fraud_reason,is_fraud
TXN100000,37516.56,ACC8195,2024-01-01 00:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100001,95076.36,ACC3525,2024-01-01 01:00:00,credit,INR,False,1.0,"high_amount,high_velocity,",1
TXN100002,73226.19,ACC6622,2024-01-01 02:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100003,59905.98,ACC2309,2024-01-01 03:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100004,15686.26,ACC9660,2024-01-01 04:00:00,credit,INR,False,0.0,,0
TXN100005,15683.85,ACC4983,2024-01-01 05:00:00,debit,INR,False,0.0,,0
TXN100006,5902.55,ACC2764,2024-01-01 06:00:00,debit,INR,False,0.0,,0
TXN100007,86631.0,ACC7955,2024-01-01 07:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100008,60151.39,ACC1791,2024-01-01 08:00:00,debit,INR,False,0.0,,0
TXN100009,70836.45,ACC2725,2024-01-01 09:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100010,2156.39,ACC1061,2024-01-01 10:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100011,96993.99,ACC7851,2024-01-01 11:00:00,debit,INR,False,1.0,"high_amount,high_velocity,",1
TXN100012,83261.02,ACC8769,2024-01-01 12:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100013,21312.68,ACC6058,2024-01-01 13:00:00,credit,INR,False,0.0,,0
TXN100014,18264.31,ACC2910,2024-01-01 14:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100015,18422.11,ACC4291,2024-01-01 15:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100016,30493.8,ACC7862,2024-01-01 16:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100017,52523.17,ACC8244,2024-01-01 17:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100018,43251.31,ACC4831,2024-01-01 18:00:00,credit,INR,False,0.0,,0
TXN100019,29193.79,ACC4584,2024-01-01 19:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100020,61224.1,ACC7911,2024-01-01 20:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100021,14035.44,ACC7088,2024-01-01 21:00:00,credit,INR,False,0.0,,0
TXN100022,29285.25,ACC7583,2024-01-01 22:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100023,36699.55,ACC2351,2024-01-01 23:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100024,45661.39,ACC4827,2024-01-02 00:00:00,debit,INR,False,0.0,,0
TXN100025,78539.08,ACC7733,2024-01-02 01:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100026,20047.41,ACC5835,2024-01-02 02:00:00,credit,INR,False,0.0,,0
TXN100027,51472.02,ACC6465,2024-01-02 03:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100028,59282.22,ACC6291,2024-01-02 04:00:00,debit,INR,False,0.4,"high_velocity,",0
TXN100029,4740.4,ACC9950,2024-01-02 05:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100030,60793.73,ACC4307,2024-01-02 06:00:00,debit,INR,False,0.0,,0
TXN100031,17135.36,ACC7374,2024-01-02 07:00:00,credit,INR,False,0.4,"high_velocity,",0
TXN100032,6598.65,ACC1932,2024-01-02 08:00:00,debit,INR,False,0.0,,0
TXN100033,94893.67,ACC1292,2024-01-02 09:00:00,debit,INR,False,0.6,"high_amount,",0
TXN100034,96566.64,ACC2003,2024-01-02 10:00:00,credit,INR,False,0.6,"high_amount,",0
TXN100035,80858.9,ACC9825,2024-01-02 11:00:00,credit,INR,False,0.0,,0
TXN100036,30530.92,ACC8155,2024-01-02 12:00:00,credit,INR,False,0.0,,0
